date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,   2.36,   0.09, -99.99,  -5.19,   1.29,   8.65,   2.49,  50.21,  -0.49,   8.08, -99.99,   5.33,   0.90,   8.16, -99.99,   0.50,   2.48,  -8.21,   4.06, -99.99,   5.44,   3.18,  14.56,  -0.65,   1.13, -99.99, -99.99,   5.64,   1.48,  -1.35,   7.04,   0.83, -99.99,   5.91,   3.63, -99.99,   1.33,   1.35, -99.99,   7.70,   1.93, -23.79,   0.08,   1.88,   4.61,  -0.54,   2.90,  -5.77,   5.20
192608,   2.23,   2.71, -99.99,  27.03,   6.52,  16.81,  -0.76,  42.98,  -3.58,  -2.50, -99.99,   3.84,   4.27,   5.47, -99.99,   7.83,   4.61,   7.37,   2.18, -99.99,   2.07,   2.10,   4.25,  -6.59,   1.72, -99.99, -99.99,   0.55,   0.94,   3.64,  -1.70,   2.17, -99.99,   1.51,   3.69, -99.99,  -4.70,   6.89, -99.99,  -2.37,   4.85,   5.39,  -0.76,  -0.13,  10.71,   2.57,   5.31,   0.32,   6.76
192609,  -0.57,   1.59, -99.99,   4.02,   1.26,   8.33,   6.48,  -4.91,   0.72,  -0.50, -99.99,   4.04,  -0.26,   5.42, -99.99,   2.30,  -0.12, -12.05,   0.16, -99.99,   0.36,  -0.57,   5.02,  -7.09,   2.88, -99.99, -99.99,   1.76,   0.30,  -3.59,   2.05,   2.42, -99.99,   0.83,   4.20, -99.99,  -6.05,  -0.63, -99.99,  -5.54,   0.10,  -7.87,   0.25,  -0.56,  -1.80,   0.72,  -3.06,  -4.83,  -3.58
192610,  -0.46,  -3.67, -99.99,  -3.31,   1.07,  -1.40,  -5.09,   5.37,  -4.66,   0.12, -99.99,   3.47,  -1.77,  -4.75, -99.99,   0.99,  -4.42,  -8.59,  -3.85, -99.99,   0.95,  -5.73,  -8.11, -13.36,  -5.45, -99.99, -99.99,  -3.20,   2.24,  -1.04,  -3.27,  -0.11, -99.99,   1.83,  -2.47, -99.99,  -3.92,   0.21, -99.99,  -5.08,  -2.63, -15.38,  -2.19,  -4.11, -11.93,  -4.28,  -5.75,  -0.95,  -8.47
192611,   6.75,   6.26, -99.99,   7.29,   4.56,   0.00,   1.83,  -6.62,  -0.53,   1.87, -99.99,   4.41,   5.76,   5.18, -99.99,   3.19,   2.20,   2.25,   4.21, -99.99,   3.35,   5.08,  -0.65,   6.56,   7.89, -99.99, -99.99,   8.46,  -0.48,   0.05,   4.40,   1.63, -99.99,   0.78,   3.28, -99.99,   1.31,   4.25, -99.99,   3.85,   1.61,   4.67,   6.54,   4.33,  -2.02,   3.58,   2.21,   5.13,   4.16
192612,  -3.28,   0.18, -99.99,  -4.09,   2.55,   2.48,   2.16,  -3.29,   2.56,   0.47, -99.99,  -3.33,   1.15,   5.54, -99.99,   5.88,   3.63,   0.76,   3.39, -99.99,   5.02,  -2.49,  10.50,   9.17,   2.38, -99.99, -99.99,   1.85,   1.43,   2.94,  -0.18,   1.99, -99.99,   5.16,   4.37, -99.99,  -0.50,  10.14, -99.99,  -4.63,   3.67,   9.65,   0.57,   1.51,  -2.45,   3.26,   7.95,  -1.59,  -2.44
192701,  -3.66,  -0.16, -99.99,   0.59,  -0.33,   1.73,   1.88,   1.21,   4.07,  -0.92, -99.99,   5.45,   4.96,   0.23, -99.99,  -1.46,  -1.83,  -3.55,  -0.38, -99.99,   1.19,  -1.02,  -0.82,  -2.29,  -0.59, -99.99, -99.99,   4.17,  -3.07,   1.67,  -1.79,   1.88, -99.99,   5.86,   0.73, -99.99,   1.48,  -3.01, -99.99,  -2.49,   1.41, -17.93,  -2.69,   1.66,  -5.37,  -0.82,  -1.56,  -3.07,  -4.13
192702,   7.65,   3.66, -99.99,  12.83,   1.49,  -6.22,   2.43,  10.31,   4.56,   2.78, -99.99,   5.19,   0.69,   9.69, -99.99,   7.64,   4.07,   8.01,   3.67, -99.99,   7.87,   4.30,   9.62,  -3.92,   4.72, -99.99, -99.99,   5.20,   5.64,   1.12,   4.54,   3.97, -99.99,   5.86,   6.82, -99.99,   5.82,   3.68, -99.99,   5.45,   5.19,   3.49,   3.49,   6.73,   8.30,   0.66,   4.30,   1.98,   0.27
192703,  -0.60,   2.76, -99.99, -13.56,   5.59,  -8.89,   1.89,  -7.83,  -0.08,   0.91, -99.99,   1.24,   0.93,   6.16, -99.99,  -5.39,   3.43,   5.21,   1.48, -99.99,  -2.23,   0.41,   1.56,   0.00,  -1.79, -99.99, -99.99,   4.56,   5.38,  -7.03,   0.37,   5.62, -99.99,  -4.00,   6.01, -99.99, -12.30,   6.26, -99.99,  -9.66,   0.95, -20.47,  -0.30,  -3.45,  -8.09,   7.34,  -4.30,  -1.41,   2.28
192704,   5.39,   2.11, -99.99,   2.86,   4.44,  -0.41,  -4.05,   3.77,   1.43,   5.95, -99.99,  -0.37,   3.68,   2.94, -99.99,   0.47,  -0.73,  -8.67,  -0.34, -99.99,   1.82,   6.29,   2.90, -11.48,  -0.61, -99.99, -99.99,   2.92,   1.10,  -5.79,   1.71,  -2.07, -99.99,   0.76,   4.73, -99.99,   8.82,   1.43, -99.99,   4.90,   0.78, -10.75,   4.38,   7.06,  -5.99,   3.09,   0.69,   8.18,   4.71
192705,   4.12,   6.62, -99.99,  11.62,  12.13,  -5.03,   0.61,  -1.48,  10.50,   3.38, -99.99,   5.91,   3.60,   3.85, -99.99,  14.11,   7.92, -10.44,   3.22, -99.99,   8.75,   8.23,   5.56,  32.15,  10.78, -99.99, -99.99,   0.25,   3.11,   4.96,   9.23,   3.35, -99.99,  16.71,   5.58, -99.99,  -0.20,   5.63, -99.99,   5.39,   7.03,  -4.01,   2.25,   4.69,   8.69,  12.58,   4.34,  10.56,   1.63
