date,gold,autos,rtail,oil_industry
1974-01-01,11.15,11.59,7.82,-7.58
1974-02-01,-0.19,-0.44,1.36,-1.63
1974-03-01,4.66,-0.03,-4.53,-3.32
1974-04-01,-12.26,-2.26,-2.0,-6.39
1974-05-01,-8.55,2.37,2.16,-7.5
1974-06-01,3.6,-3.45,-2.08,-0.19
1974-07-01,21.16,-10.95,-13.61,-0.44
1974-08-01,-7.65,-4.56,-14.01,-8.71
1974-09-01,-26.15,-9.5,-11.28,-8.01
1974-10-01,26.53,-2.27,7.97,20.51
1974-11-01,-6.94,-6.39,-5.96,-4.4
1974-12-01,-14.87,-0.24,-2.72,0.86
1975-01-01,6.48,22.56,27.14,6.55
1975-02-01,12.18,0.58,3.82,2.36
1975-03-01,5.68,6.86,11.02,-2.65
1975-04-01,-4.99,3.25,0.88,6.98
1975-05-01,9.75,3.78,4.54,11.84
1975-06-01,5.72,9.55,7.76,6.72
1975-07-01,-7.37,1.21,-8.18,-4.27
1975-08-01,-13.66,-2.63,0.53,-0.81
1975-09-01,-7.62,-1.17,-3.63,-1.22
1975-10-01,-3.59,9.53,10.61,-1.05
1975-11-01,-8.42,4.13,4.42,-1.77
1975-12-01,5.16,1.12,-3.76,0.03
1976-01-01,6.46,13.89,7.91,8.21
1976-02-01,8.77,4.32,4.37,-3.3
1976-03-01,-2.9,4.74,4.32,7.48
1976-04-01,5.92,1.37,-5.18,1.93
1976-05-01,-2.55,-2.92,-6.39,5.46
1976-06-01,-5.05,3.19,0.79,5.1
1976-07-01,-5.7,-0.36,-1.68,-0.46
1976-08-01,-10.6,-0.24,4.73,-0.7
1976-09-01,6.35,5.86,0.37,5.89
1976-10-01,4.65,-1.74,-0.23,-2.38
1976-11-01,4.68,0.58,5.53,0.83
1976-12-01,1.51,9.96,1.6,6.32
1977-01-01,0.56,-3.08,-7.43,0.32
1977-02-01,15.99,-3.11,-1.56,-3.15
1977-03-01,-0.14,-5.11,-3.06,-2.14
1977-04-01,-4.32,2.2,-4.01,2.67
1977-05-01,-4.57,-0.46,-3.74,-0.21
1977-06-01,1.79,4.58,5.87,6.01
1977-07-01,2.79,-2.58,0.15,-1.66
1977-08-01,-3.14,-1.16,4.94,-5.86
1977-09-01,8.19,2.94,-1.26,0.76
1977-10-01,-4.87,-4.58,-2.95,-3.58
1977-11-01,3.36,1.92,5.22,3.45
1977-12-01,-0.7,-1.11,-2.31,1.97
1978-01-01,4.34,-6.26,-6.86,-6.96
1978-02-01,-5.46,1.18,-1.34,-1.16
1978-03-01,3.14,5.99,1.69,2.21
1978-04-01,-4.73,8.1,11.57,6.59
1978-05-01,12.16,-1.18,-0.33,0.94
1978-06-01,-1.68,-2.83,-2.2,-3.79
1978-07-01,10.65,3.92,5.24,3.36
1978-08-01,-1.53,2.39,5.48,5.24
1978-09-01,1.98,0.85,-2.36,4.84
1978-10-01,-8.58,-10.55,-12.96,-10.49
1978-11-01,-13.27,0.45,1.97,6.17
1978-12-01,6.47,-0.41,-1.58,2.89
1979-01-01,10.49,5.83,6.34,3.0
1979-02-01,7.19,-3.71,-4.31,0.61
1979-03-01,3.08,6.68,5.8,9.18
1979-04-01,4.01,2.42,0.81,4.51
1979-05-01,7.6,-1.46,-2.75,-2.59
1979-06-01,2.2,2.67,2.47,9.19
1979-07-01,-2.28,0.77,0.97,1.65
1979-08-01,14.18,5.13,9.24,8.0
1979-09-01,13.94,1.95,-2.01,5.97
1979-10-01,-11.09,-11.17,-8.6,-2.36
1979-11-01,11.95,-3.55,3.28,8.81
1979-12-01,29.61,1.15,1.14,2.45
1980-01-01,17.78,9.87,-0.45,14.13
1980-02-01,8.96,-6.41,-5.52,13.18
1980-03-01,-26.98,-9.99,-7.84,-17.88
1980-04-01,6.58,-2.49,4.81,6.92
1980-05-01,10.86,3.25,9.58,4.01
1980-06-01,33.75,1.81,2.45,5.83
1980-07-01,6.57,12.85,10.95,1.96
1980-08-01,9.66,3.29,0.25,3.7
1980-09-01,21.09,1.81,-0.73,6.52
1980-10-01,-3.68,-4.23,-1.8,7.84
1980-11-01,-0.07,-0.97,0.61,24.4
1980-12-01,-17.44,-0.07,0.3,-10.6
1981-01-01,-11.02,-1.19,0.42,-10.18
1981-02-01,-5.96,6.92,3.27,-0.31
1981-03-01,13.98,7.72,13.67,-2.12
1981-04-01,0.56,1.72,4.06,-7.81
1981-05-01,1.87,2.91,2.61,-4.0
1981-06-01,-19.71,-2.74,-1.17,4.75
1981-07-01,6.16,-3.44,-2.84,7.93
1981-08-01,8.85,-8.97,-6.14,-6.27
1981-09-01,-14.24,-3.95,-2.75,-12.34
1981-10-01,-6.32,-8.7,5.57,9.56
1981-11-01,-1.36,2.88,1.16,6.87
1981-12-01,-8.94,3.23,-1.71,-6.42
1982-01-01,-11.34,-0.99,1.21,-8.48
1982-02-01,-8.35,-3.31,-0.58,-11.18
1982-03-01,-6.09,4.46,5.03,-3.38
1982-04-01,-2.46,5.08,5.95,4.33
1982-05-01,-10.48,-0.11,-2.64,2.48
1982-06-01,-12.75,3.86,3.43,-6.27
1982-07-01,4.18,-3.71,0.57,-8.09
1982-08-01,39.64,15.81,11.68,10.04
1982-09-01,7.54,-1.52,5.7,1.89
1982-10-01,18.11,17.21,17.22,5.46
1982-11-01,12.11,8.45,11.98,-4.62
1982-12-01,23.04,5.93,-2.98,5.57
1983-01-01,23.02,2.35,0.73,3.6
1983-02-01,-25.5,0.5,7.48,-0.51
1983-03-01,4.82,-0.9,10.57,5.98
1983-04-01,11.45,15.88,9.7,9.42
1983-05-01,13.06,-1.41,0.0,1.25
1983-06-01,-5.78,10.33,6.19,6.4
1983-07-01,-1.4,-2.13,-2.22,-2.28
1983-08-01,3.29,-3.04,-5.43,6.93
1983-09-01,-18.48,4.65,1.99,-4.68
1983-10-01,-13.24,1.81,-0.92,-2.0
