date,delta_world,rea,rpo
1973-02-01,11.877264,36.064235,-47.999534
1973-03-01,1.4191496,41.527016,-48.286474
1973-04-01,1.1777108,43.99125,-47.0825
1973-05-01,27.455136,48.105889,-43.857651
1973-06-01,-13.110436,52.033462,-41.571063
1973-07-01,36.258073,52.942861,-40.98796
1973-08-01,-14.084422,57.665996,-42.78173
1973-09-01,20.83655,63.15587,-37.573865
1973-10-01,-23.715772,74.403785,-38.454928
1973-11-01,-59.708188,72.90661,-34.808854
1973-12-01,9.1213,76.712093,-31.048386
1974-01-01,26.176654,72.71761,12.969996
1974-02-01,10.102647,64.878445,38.00726
1974-03-01,9.2309791,68.65206,39.179805
1974-04-01,15.544122,63.149657,38.475565
1974-05-01,3.5457981,70.429073,39.772538
1974-06-01,-8.8525595,60.627158,39.25961
1974-07-01,-23.292599,50.688233,36.246946
1974-08-01,-31.902449,48.511725,34.486722
1974-09-01,11.852437,48.834946,31.903647
1974-10-01,3.7577179,49.145886,30.395373
1974-11-01,1.6348628,47.492512,30.140623
1974-12-01,-10.765544,26.63957,31.654993
1975-01-01,-48.806907,11.562386,30.496457
1975-02-01,-23.393275,4.9306377,32.093429
1975-03-01,-1.9156272,-8.6688632,33.461023
1975-04-01,-8.9174378,-22.303538,32.932234
1975-05-01,5.5225454,-24.93713,32.819119
1975-06-01,29.962196,-17.903098,38.489524
1975-07-01,31.172343,-22.687221,36.707612
1975-08-01,25.594092,-26.356646,37.893827
1975-09-01,37.02579,-15.557235,35.673879
1975-10-01,-118.88749,-15.178859,39.447162
1975-11-01,41.380641,-6.6756524,41.280268
1975-12-01,16.223125,-16.741284,39.19817
1976-01-01,-17.554891,-26.532894,27.859425
1976-02-01,31.913337,-30.845826,27.604988
1976-03-01,29.585541,-13.799185,29.294073
1976-04-01,-22.13142,-10.641364,28.223462
1976-05-01,5.1251839,-2.7935532,27.839381
1976-06-01,38.757941,-0.40016598,27.829517
1976-07-01,7.2057148,-4.5850303,27.524116
1976-08-01,8.4736682,-6.6081813,27.515977
1976-09-01,18.511911,-7.2264292,26.18047
1976-10-01,36.208383,-4.1277071,25.809356
1976-11-01,11.15496,-3.0070054,26.129473
1976-12-01,29.306982,-16.616828,26.567188
1977-01-01,-113.32947,-29.198924,28.930631
1977-02-01,77.983205,-25.173715,30.640162
1977-03-01,9.7543089,-25.468048,30.411017
1977-04-01,-18.950365,-23.67821,28.496427
1977-05-01,-38.987625,-16.671414,29.958037
1977-06-01,18.314101,-20.900031,29.529312
1977-07-01,-23.143414,-24.37185,27.727462
1977-08-01,16.960978,-26.902206,28.883643
1977-09-01,24.920395,-27.018709,27.323108
1977-10-01,-2.5589347,-14.285117,27.247844
1977-11-01,22.83631,-14.722074,26.943411
1977-12-01,24.046875,-18.628262,27.482167
1978-01-01,-113.88154,-19.05797,25.202783
1978-02-01,31.392494,-19.325003,23.964996
1978-03-01,10.447789,-19.747623,24.436303
1978-04-01,18.112863,-20.322878,22.477112
1978-05-01,-20.588292,-6.6047135,22.303512
1978-06-01,28.033693,-2.6282512,21.737847
1978-07-01,-8.5531081,-9.113159,20.627089
1978-08-01,16.052011,-9.5116946,19.811005
1978-09-01,41.42587,-0.74531634,19.38758
1978-10-01,8.2116716,-3.7551292,19.175244
1978-11-01,2.8199441,5.634392,19.329956
1978-12-01,-26.224139,3.578438,20.086842
1979-01-01,-30.395834,-2.867319,22.886855
1979-02-01,6.4665513,0.60776679,24.292187
1979-03-01,22.800548,11.558115,26.568753
1979-04-01,23.845993,12.41917,32.459402
1979-05-01,-3.8809309,22.906389,39.100338
1979-06-01,4.8158299,31.044457,48.137222
1979-07-01,12.01234,34.314205,56.380245
1979-08-01,-2.4004355,25.863008,59.207962
1979-09-01,-4.5873934,28.67375,62.667928
1979-10-01,8.4408764,28.207252,61.558487
1979-11-01,6.1136804,30.338382,68.070626
1979-12-01,-8.7379941,23.323514,73.654395
1980-01-01,-21.780771,22.420749,78.404344
1980-02-01,7.0571434,24.446882,82.357284
1980-03-01,-20.616173,24.766725,84.074094
1980-04-01,-24.703838,32.496314,83.43872
1980-05-01,-12.23432,33.401415,84.782788
1980-06-01,4.6050039,30.112581,84.244343
1980-07-01,-8.0200923,24.837727,84.210173
1980-08-01,-3.2836028,28.457773,83.28336
1980-09-01,-23.404957,28.662219,82.503589
1980-10-01,-51.635102,28.211172,82.046703
1980-11-01,17.629034,31.870118,82.309318
1980-12-01,28.852567,32.943743,82.906258
1981-01-01,-3.233447,30.787362,90.636602
1981-02-01,5.477916,29.492062,90.10871
1981-03-01,13.392606,24.379898,87.644137
1981-04-01,-20.695131,22.305826,87.342078
1981-05-01,-16.926428,17.553846,85.175825
1981-06-01,-14.48172,19.579528,82.124082
1981-07-01,-27.905974,15.325625,79.802494
1981-08-01,-20.603923,6.6050133,76.940854
1981-09-01,2.4593617,5.2064363,74.902921
1981-10-01,8.0737094,6.4408016,74.552985
1981-11-01,-12.686365,5.8717881,76.303274
1981-12-01,21.295614,2.3152379,75.263331
1982-01-01,-5.5340049,-0.10420402,73.798002
1982-02-01,-14.094586,-5.1907858,73.311743
1982-03-01,-41.144816,-0.070250454,69.25655
1982-04-01,-30.203598,4.0168636,65.202347
1982-05-01,19.756817,2.0747382,64.137486
1982-06-01,44.158066,-11.635205,66.031619
1982-07-01,-9.4134027,-26.989275,64.476268
1982-08-01,-1.7563488,-28.56019,62.795197
1982-09-01,-3.2718849,-18.118631,63.037695
1982-10-01,38.182463,-17.815095,63.383152
1982-11-01,12.823165,-16.074045,62.912592
1982-12-01,-24.833825,-12.980612,62.491246
1983-01-01,-33.239484,-11.752929,57.772362
1983-02-01,-69.05838,-8.8587205,55.610994
1983-03-01,22.053562,-7.1496591,47.631983
1983-04-01,5.2622851,-5.8493926,45.218187
1983-05-01,39.375126,-6.0256147,46.868042
1983-06-01,4.775544,-14.599633,49.090574
1983-07-01,39.798695,-21.648058,47.067962
1983-08-01,-3.3638374,-22.325852,49.308285
1983-09-01,14.313223,-20.394489,49.144534
1983-10-01,-5.6917081,-18.57067,49.186035
1983-11-01,8.0173133,-14.091428,46.914662
1983-12-01,-17.607974,-20.428498,47.33767
1984-01-01,2.5346595,-19.406725,44.928493
1984-02-01,7.6943842,-15.441912,44.82119
1984-03-01,-6.0900669,-12.943613,44.667483
1984-04-01,4.3625695,-10.709081,44.830665
1984-05-01,-8.3663759,-11.038437,45.151206
1984-06-01,27.81477,-16.187144,44.718634
1984-07-01,-15.603203,-19.207493,43.680613
1984-08-01,-37.171427,-18.687426,43.116599
1984-09-01,10.282813,-16.778861,42.066028
1984-10-01,9.1332902,-16.058733,41.99781
1984-11-01,0.37627615,-11.620012,41.633873
1984-12-01,-0.88554222,-13.406032,38.906986
1985-01-01,-27.678762,-15.460787,36.807968
1985-02-01,32.84694,-17.063529,34.406341
