date,stock_market_return
1973-01-01,-2.83
1973-02-01,-4.43
1973-03-01,-0.84
1973-04-01,-5.16
1973-05-01,-2.46
1973-06-01,-1.06
1973-07-01,5.68
1973-08-01,-3.12
1973-09-01,5.42
1973-10-01,-0.18
1973-11-01,-12.22
1973-12-01,1.23
1974-01-01,0.47
1974-02-01,0.12
1974-03-01,-2.26
1974-04-01,-4.53
1974-05-01,-3.95
1974-06-01,-2.24
1974-07-01,-7.36
1974-08-01,-8.79
1974-09-01,-10.98
1974-10-01,16.62
1974-11-01,-3.99
1974-12-01,-2.74
1975-01-01,14.25
1975-02-01,5.99
1975-03-01,3.07
1975-04-01,4.66
1975-05-01,5.64
1975-06-01,5.28
1975-07-01,-6.12
1975-08-01,-2.36
1975-09-01,-3.73
1975-10-01,5.88
1975-11-01,3.06
1975-12-01,-1.12
1976-01-01,12.62
1976-02-01,0.65
1976-03-01,2.72
1976-04-01,-1.07
1976-05-01,-0.97
1976-06-01,4.49
1976-07-01,-0.59
1976-08-01,-0.15
1976-09-01,2.50
1976-10-01,-2.01
1976-11-01,0.76
1976-12-01,6.05
1977-01-01,-3.67
1977-02-01,-1.59
1977-03-01,-0.97
1977-04-01,0.53
1977-05-01,-1.10
1977-06-01,5.12
1977-07-01,-1.27
1977-08-01,-1.32
1977-09-01,0.16
1977-10-01,-3.90
1977-11-01,4.50
1977-12-01,0.76
1978-01-01,-5.51
1978-02-01,-0.93
1978-03-01,3.38
1978-04-01,8.41
1978-05-01,2.27
1978-06-01,-1.15
1978-07-01,5.68
1978-08-01,4.34
1978-09-01,-0.82
1978-10-01,-11.22
1978-11-01,3.41
1978-12-01,1.65
1979-01-01,4.99
1979-02-01,-2.83
1979-03-01,6.48
1979-04-01,0.73
1979-05-01,-1.38
1979-06-01,4.65
1979-07-01,1.60
1979-08-01,6.31
1979-09-01,0.00
1979-10-01,-7.23
1979-11-01,6.21
1979-12-01,2.73
1980-01-01,6.30
1980-02-01,-0.34
1980-03-01,-11.69
1980-04-01,5.21
1980-05-01,6.07
1980-06-01,3.59
1980-07-01,7.04
1980-08-01,2.39
1980-09-01,2.94
1980-10-01,1.99
1980-11-01,10.56
1980-12-01,-3.15
1981-01-01,-4.02
1981-02-01,1.68
1981-03-01,4.88
1981-04-01,-1.08
1981-05-01,1.28
1981-06-01,-0.99
1981-07-01,-0.31
1981-08-01,-5.74
1981-09-01,-5.95
1981-10-01,6.13
1981-11-01,4.47
1981-12-01,-2.76
1982-01-01,-2.43
1982-02-01,-4.94
1982-03-01,-0.84
1982-04-01,4.37
1982-05-01,-2.87
1982-06-01,-2.12
1982-07-01,-2.15
1982-08-01,11.99
1982-09-01,1.82
1982-10-01,11.89
1982-11-01,5.31
1982-12-01,1.23
1983-01-01,4.28
1983-02-01,3.21
1983-03-01,3.44
1983-04-01,7.37
1983-05-01,1.20
1983-06-01,3.74
1983-07-01,-3.32
1983-08-01,0.26
1983-09-01,1.68
1983-10-01,-2.67
1983-11-01,2.87
1983-12-01,-1.04
1984-01-01,-1.16
1984-02-01,-4.06
1984-03-01,1.38
1984-04-01,0.30
1984-05-01,-5.20
1984-06-01,2.56
1984-07-01,-1.90
1984-08-01,11.10
1984-09-01,0.06
1984-10-01,0.16
1984-11-01,-1.04
1984-12-01,2.48
1985-01-01,8.62
1985-02-01,1.80
1985-03-01,-0.21
1985-04-01,-0.24
1985-05-01,5.73
1985-06-01,1.82
1985-07-01,-0.10
1985-08-01,-0.46
1985-09-01,-3.91
1985-10-01,4.65
1985-11-01,7.07
1985-12-01,4.53
1986-01-01,1.21
1986-02-01,7.67
1986-03-01,5.51
1986-04-01,-0.76
1986-05-01,5.11
1986-06-01,1.58
1986-07-01,-5.91
1986-08-01,6.53
1986-09-01,-8.14
1986-10-01,5.10
1986-11-01,1.56
1986-12-01,-2.77
1987-01-01,12.87
1987-02-01,4.81
1987-03-01,2.10
1987-04-01,-1.65
1987-05-01,0.49
1987-06-01,4.39
1987-07-01,4.30
1987-08-01,3.99
1987-09-01,-2.13
1987-10-01,-22.59
1987-11-01,-7.41
1987-12-01,7.21
1988-01-01,4.50
1988-02-01,5.23
1988-03-01,-1.82
1988-04-01,1.03
1988-05-01,0.24
1988-06-01,5.27
1988-07-01,-0.74
1988-08-01,-2.72
1988-09-01,3.93
1988-10-01,1.77
1988-11-01,-1.70
1988-12-01,2.11
1989-01-01,6.62
1989-02-01,-1.62
1989-03-01,2.24
1989-04-01,5.02
1989-05-01,4.07
1989-06-01,-0.62
1989-07-01,7.88
1989-08-01,2.17
1989-09-01,-0.11
1989-10-01,-2.97
1989-11-01,1.73
1989-12-01,1.79
1990-01-01,-7.23
1990-02-01,1.69
1990-03-01,2.47
1990-04-01,-2.67
1990-05-01,9.11
1990-06-01,-0.46
1990-07-01,-1.22
1990-08-01,-9.46
1990-09-01,-5.51
1990-10-01,-1.24
1990-11-01,6.92
1990-12-01,3.06
1991-01-01,5.21
1991-02-01,7.67
1991-03-01,3.10
1991-04-01,0.25
1991-05-01,4.13
1991-06-01,-4.52
1991-07-01,4.73
1991-08-01,2.78
1991-09-01,-1.13
1991-10-01,1.71
1991-11-01,-3.81
1991-12-01,11.23
1992-01-01,-0.25
1992-02-01,1.36
1992-03-01,-2.31
1992-04-01,1.41
1992-05-01,0.58
1992-06-01,-2.01
1992-07-01,4.09
1992-08-01,-2.12
