"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","2,948.10","2,892.64","2,995.45","2,744.58","1,857.98B","2.26%"
"12/01/2024","2,883.04","2,584.19","2,883.04","2,370.28","2,182.35B","11.83%"
"11/01/2024","2,578.00","2,562.49","2,797.94","2,426.02","1,107.88B","0.70%"
"10/01/2024","2,560.20","2,831.17","2,838.77","2,551.20","","-10.41%"
"09/01/2024","2,857.56","2,622.55","2,889.87","2,512.70","","7.83%"
"08/01/2024","2,649.96","2,953.09","2,966.49","2,641.20","1,493.64B","-10.03%"
"07/01/2024","2,945.37","3,160.70","3,226.16","2,879.25","1,723.40B","-5.70%"
"06/01/2024","3,123.43","3,192.30","3,268.89","2,996.44","","-2.91%"
"05/01/2024","3,217.19","3,470.87","3,521.72","3,211.19","","-7.28%"
"04/01/2024","3,469.83","3,343.66","3,487.55","3,343.66","","4.12%"
"03/01/2024","3,332.53","3,259.00","3,343.56","3,234.95","","2.33%"
"02/01/2024","3,256.80","3,220.43","3,275.23","3,135.80","","1.33%"
"01/01/2024","3,214.19","3,099.78","3,219.41","3,099.10","","3.71%"
"12/01/2023","3,099.11","3,155.87","3,162.97","2,959.29","","-2.11%"
"11/01/2023","3,165.79","3,192.96","3,257.32","3,146.53","","-1.10%"
"10/01/2023","3,200.97","3,141.69","3,283.80","3,103.63","","2.16%"
"09/01/2023","3,133.26","3,230.53","3,287.34","2,988.04","","-2.93%"
"08/01/2023","3,227.99","3,085.97","3,234.68","3,015.57","","5.03%"
"07/01/2023","3,073.50","2,795.58","3,073.50","2,776.79","","9.87%"
"06/01/2023","2,797.37","2,720.21","2,821.88","2,628.00","","2.93%"
"05/01/2023","2,717.64","2,623.29","2,748.60","2,483.79","","3.14%"
"04/01/2023","2,634.94","2,474.37","2,657.90","2,463.00","","7.52%"
"03/01/2023","2,450.67","2,258.89","2,472.53","2,235.43","","8.77%"
"02/01/2023","2,253.16","2,232.02","2,290.51","2,140.78","","1.24%"
"01/01/2023","2,225.60","2,157.18","2,226.49","2,145.14","","3.32%"
"12/01/2022","2,154.12","2,189.65","2,210.70","2,070.58","","-0.94%"
"11/01/2022","2,174.53","2,179.15","2,254.94","2,123.32","","0.37%"
"10/01/2022","2,166.61","1,991.88","2,184.38","1,775.04","","10.69%"
"09/01/2022","1,957.31","2,401.98","2,492.15","1,841.42","","-18.45%"
"08/01/2022","2,400.08","2,213.75","2,423.12","2,052.08","","8.41%"
"07/01/2022","2,213.81","2,197.90","2,273.24","2,022.16","","0.41%"
"06/01/2022","2,204.85","2,349.84","2,419.81","2,184.71","","-6.41%"
"05/01/2022","2,355.75","2,444.25","2,490.17","2,229.22","","-3.66%"
"04/01/2022","2,445.17","2,714.62","2,835.46","2,168.18","","-9.56%"
"03/01/2022","2,703.51","2,467.09","2,761.17","2,363.62","","9.43%"
"02/01/2022","2,470.48","3,564.55","3,683.95","1,681.55","","-30.02%"
"01/01/2022","3,530.38","3,825.30","3,892.33","3,158.46","","-6.78%"
"12/01/2021","3,787.26","3,907.17","3,977.16","3,532.29","","-2.66%"
"11/01/2021","3,890.59","4,155.24","4,245.32","3,776.61","","-6.25%"
"10/01/2021","4,150.00","4,078.59","4,292.68","4,065.40","","1.13%"
"09/01/2021","4,103.52","3,924.32","4,112.31","3,924.32","","4.71%"
"08/01/2021","3,918.96","3,791.22","3,949.07","3,771.80","","3.91%"
"07/01/2021","3,771.58","3,843.28","3,915.00","3,679.44","","-1.83%"
"06/01/2021","3,841.85","3,739.57","3,865.20","3,739.57","","3.23%"
"05/01/2021","3,721.63","3,557.62","3,752.80","3,556.08","","5.01%"
"04/01/2021","3,544.00","3,556.28","3,627.91","3,460.39","","0.06%"
"03/01/2021","3,541.72","3,369.68","3,602.18","3,354.09","","5.83%"
"02/01/2021","3,346.64","3,287.96","3,510.77","3,268.52","","2.12%"
"01/01/2021","3,277.08","3,306.12","3,520.66","3,272.53","","-0.36%"
"12/01/2020","3,289.02","3,113.06","3,318.39","3,113.06","","5.84%"
"11/01/2020","3,107.58","2,681.19","3,150.78","2,658.49","","15.50%"
"10/01/2020","2,690.59","2,911.08","2,919.25","2,664.44","","-7.41%"
"09/01/2020","2,905.81","2,976.07","3,002.25","2,857.78","","-2.04%"
"08/01/2020","2,966.20","2,917.68","3,081.15","2,911.19","","1.88%"
"07/01/2020","2,911.57","2,762.56","2,919.35","2,703.35","","6.14%"
"06/01/2020","2,743.20","2,761.23","2,835.06","2,670.41","","0.31%"
"05/01/2020","2,734.83","2,623.89","2,796.85","2,564.44","","3.18%"
"04/01/2020","2,650.56","2,465.56","2,713.50","2,431.98","","5.65%"
"03/01/2020","2,508.81","2,829.47","2,875.30","2,073.87","","-9.92%"
"02/01/2020","2,785.08","3,062.27","3,145.15","2,744.18","","-9.48%"
"01/01/2020","3,076.65","3,059.20","3,226.89","3,057.36","","1.01%"
"12/01/2019","3,045.87","2,937.69","3,060.20","2,875.50","","3.76%"
"11/01/2019","2,935.37","2,895.47","3,009.11","2,886.59","","1.43%"
"10/01/2019","2,893.98","2,749.83","2,936.26","2,686.15","","5.34%"
"09/01/2019","2,747.18","2,742.30","2,847.01","2,735.11","","0.26%"
"08/01/2019","2,740.04","2,727.68","2,740.04","2,615.20","","0.02%"
"07/01/2019","2,739.50","2,777.08","2,848.40","2,665.21","","-0.95%"
"06/01/2019","2,765.85","2,660.64","2,790.59","2,649.78","","3.77%"
"05/01/2019","2,665.33","2,558.81","2,665.42","2,506.47","","4.14%"
"04/01/2019","2,559.32","2,498.73","2,599.58","2,498.73","","2.49%"
"03/01/2019","2,497.10","2,487.44","2,520.02","2,452.09","","0.48%"
"02/01/2019","2,485.27","2,520.08","2,551.97","2,448.41","","-1.42%"
"01/01/2019","2,521.10","2,370.56","2,536.28","2,350.41","","6.89%"
"12/01/2018","2,358.50","2,405.18","2,449.92","2,258.27","","-1.42%"
"11/01/2018","2,392.50","2,352.94","2,454.84","2,284.30","","1.69%"
"10/01/2018","2,352.71","2,481.45","2,501.78","2,275.58","","-4.95%"
"09/01/2018","2,475.36","2,344.30","2,476.86","2,305.27","","5.52%"
"08/01/2018","2,345.85","2,317.83","2,359.58","2,240.71","","1.07%"
"07/01/2018","2,321.11","2,294.10","2,379.33","2,239.77","","1.10%"
"06/01/2018","2,295.95","2,297.13","2,329.03","2,192.63","","-0.30%"
"05/01/2018","2,302.88","2,304.28","2,358.59","2,274.07","","-0.18%"
"04/01/2018","2,307.02","2,271.91","2,322.38","2,065.32","","1.59%"
"03/01/2018","2,270.98","2,286.41","2,326.41","2,240.85","","-1.12%"
"02/01/2018","2,296.80","2,292.22","2,376.96","2,181.96","","0.30%"
"01/01/2018","2,289.99","2,111.24","2,328.48","2,111.24","","8.54%"
"12/01/2017","2,109.74","2,102.54","2,160.75","2,082.29","","0.43%"
"11/01/2017","2,100.62","2,070.68","2,191.71","2,065.69","","1.76%"
