date,value
1991-01-31,0.0019
1991-02-28,0.002
1991-03-31,0.0021
1991-04-30,0.0034
1991-05-31,0.0035
1991-06-30,0.0035
1991-07-31,0.0036
1991-08-31,0.0036
1991-09-30,0.0036
1991-10-31,0.0038
1991-11-30,0.0041
1991-12-31,0.0046
1992-01-31,0.0158
1992-02-29,0.0218
1992-03-31,0.0283
1992-04-30,0.0345
1992-05-31,0.0386
1992-06-30,0.046
1992-07-31,0.0509
1992-08-31,0.0552
1992-09-30,0.0616
1992-10-31,0.0757
1992-11-30,0.0954
1992-12-31,0.1195
1993-01-31,0.1503
1993-02-28,0.1874
1993-03-31,0.2251
1993-04-30,0.2672
1993-05-31,0.3156
1993-06-30,0.3784
1993-07-31,0.4631
1993-08-31,0.5835
1993-09-30,0.7177
1993-10-31,0.8577
1993-11-30,0.9982
1993-12-31,1.123
1994-01-31,1.324
1994-02-28,1.4673
1994-03-31,1.576
1994-04-30,1.7098
1994-05-31,1.828
1994-06-30,1.9376
1994-07-31,2.0409
1994-08-31,2.1352
1994-09-30,2.3052
1994-10-31,2.651
1994-11-30,3.038
1994-12-31,3.538
1995-01-31,4.166
1995-02-28,4.625
1995-03-31,5.039
1995-04-30,5.466
1995-05-31,5.899
1995-06-30,6.292
1995-07-31,6.631
1995-08-31,6.933
1995-09-30,7.242
1995-10-31,7.584
1995-11-30,7.93
1995-12-31,8.184
1996-01-31,8.52
1996-02-29,8.758
1996-03-31,9.003
1996-04-30,9.197
1996-05-31,9.345
1996-06-30,9.454
1996-07-31,9.522
1996-08-31,9.502
1996-09-30,9.533
1996-10-31,9.648
1996-11-30,9.829
1996-12-31,9.969
1997-01-31,10.202
1997-02-28,10.359
1997-03-31,10.507
1997-04-30,10.608
1997-05-31,10.708
1997-06-30,10.826
1997-07-31,10.926
1997-08-31,10.911
1997-09-30,10.878
1997-10-31,10.897
1997-11-30,10.963
1997-12-31,11.068
1998-01-31,11.236
1998-02-28,11.336
1998-03-31,11.408
1998-04-30,11.451
1998-05-31,11.509
1998-06-30,11.518
1998-07-31,11.537
1998-08-31,11.961
1998-09-30,16.557
1998-10-31,17.309
1998-11-30,18.291
1998-12-31,20.414
1999-01-31,22.125
1999-02-28,23.039
1999-03-31,23.681
1999-04-30,24.399
1999-05-31,24.941
1999-06-30,25.42
1999-07-31,26.13
1999-08-31,26.44
1999-09-30,26.83
1999-10-31,27.2
1999-11-30,27.53
1999-12-31,27.88
2000-01-31,28.53
2000-02-29,28.82
2000-03-31,29.01
2000-04-30,29.27
2000-05-31,29.78
2000-06-30,30.54
2000-07-31,31.08
2000-08-31,31.39
2000-09-30,31.8
2000-10-31,32.47
2000-11-30,32.97
2000-12-31,33.51
2001-01-31,34.43
2001-02-28,35.22
2001-03-31,35.87
2001-04-30,36.52
2001-05-31,37.17
2001-06-30,37.77
2001-07-31,37.94
2001-08-31,37.94
2001-09-30,38.17
2001-10-31,38.58
2001-11-30,39.11
2001-12-31,39.74
2002-01-31,40.96
2002-02-28,41.43
2002-03-31,41.88
2002-04-30,42.37
2002-05-31,43.08
2002-06-30,43.31
2002-07-31,43.62
2002-08-31,43.66
2002-09-30,43.84
2002-10-31,44.3
2002-11-30,45.02
2002-12-31,45.71
2003-01-31,46.81
2003-02-28,47.57
2003-03-31,48.07
2003-04-30,48.56
2003-05-31,48.95
2003-06-30,49.34
2003-07-31,49.69
2003-08-31,49.49
2003-09-30,49.66
2003-10-31,50.15
2003-11-30,50.63
2003-12-31,51.19
2004-01-31,52.09
2004-02-29,52.6
2004-03-31,53
2004-04-30,53.52
2004-05-31,53.92
2004-06-30,54.34
2004-07-31,54.84
2004-08-31,55.07
2004-09-30,55.31
2004-10-31,55.94
2004-11-30,56.56
2004-12-31,57.2
2005-01-31,58.7
2005-02-28,59.42
2005-03-31,60.22
2005-04-30,60.89
2005-05-31,61.38
2005-06-30,61.77
2005-07-31,62.06
2005-08-31,61.97
2005-09-30,62.12
2005-10-31,62.47
2005-11-30,62.93
2005-12-31,63.44
2006-01-31,64.99
2006-02-28,66.07
2006-03-31,66.61
2006-04-30,66.84
2006-05-31,67.16
2006-06-30,67.35
2006-07-31,67.8
2006-08-31,67.93
2006-09-30,67.99
2006-10-31,68.18
2006-11-30,68.61
2006-12-31,69.15
2007-01-31,70.31
2007-02-28,71.09
2007-03-31,71.51
2007-04-30,71.92
2007-05-31,72.37
2007-06-30,73.06
2007-07-31,73.7
2007-08-31,73.76
2007-09-30,74.35
2007-10-31,75.57
2007-11-30,76.5
2007-12-31,77.36
2008-01-31,79.15
2008-02-29,80.1
2008-03-31,81.06
2008-04-30,82.21
2008-05-31,83.32
2008-06-30,84.13
2008-07-31,84.56
2008-08-31,84.86
2008-09-30,85.54
2008-10-31,86.32
2008-11-30,87.03
2008-12-31,87.63
2009-01-31,89.71
2009-02-28,91.19
2009-03-31,92.39
2009-04-30,93.02
2009-05-31,93.55
2009-06-30,94.12
2009-07-31,94.71
2009-08-31,94.71
2009-09-30,94.68
2009-10-31,94.68
2009-11-30,94.95
2009-12-31,95.34
2010-01-31,96.91
2010-02-28,97.74
2010-03-31,98.36
2010-04-30,98.64
2010-05-31,99.14
2010-06-30,99.52
2010-07-31,99.88
2010-08-31,100.43
2010-09-30,101.27
2010-10-31,101.78
2010-11-30,102.6
2010-12-31,103.71
2011-01-31,106.17
2011-02-28,107
2011-03-31,107.66
2011-04-30,108.12
2011-05-31,108.64
2011-06-30,108.89
2011-07-31,108.88
2011-08-31,108.62
2011-09-30,108.58
2011-10-31,109.1
2011-11-30,109.56
2011-12-31,110.04
2012-01-31,110.59
2012-02-29,111
2012-03-31,111.64
2012-04-30,111.99
2012-05-31,112.57
2012-06-30,113.57
2012-07-31,114.97
2012-08-31,115.08
2012-09-30,115.72
2012-10-31,116.25
2012-11-30,116.64
2012-12-31,117.27
2013-01-31,118.41
2013-02-28,119.08
2013-03-31,119.48
2013-04-30,120.09
2013-05-31,120.88
2013-06-30,121.39
2013-07-31,122.39
2013-08-31,122.56
2013-09-30,122.81
2013-10-31,123.51
2013-11-30,124.21
2013-12-31,124.84
2014-01-31,125.58
2014-02-28,126.45
2014-03-31,127.74
2014-04-30,128.89
2014-05-31,130.05
2014-06-30,130.86
2014-07-31,131.5
2014-08-31,131.82
2014-09-30,132.67
2014-10-31,133.76
2014-11-30,135.47
2014-12-31,139.02
2015-01-31,144.38
