date,npo_t
1974-01-01,9.59
1974-02-01,12.45
1974-03-01,12.73
1974-04-01,12.72
1974-05-01,13.02
1974-06-01,13.06
1974-07-01,12.75
1974-08-01,12.68
1974-09-01,12.53
1974-10-01,12.44
1974-11-01,12.53
1974-12-01,12.82
1975-01-01,12.77
1975-02-01,13.05
1975-03-01,13.28
1975-04-01,13.26
1975-05-01,13.27
1975-06-01,14.15
1975-07-01,14.03
1975-08-01,14.25
1975-09-01,14.04
1975-10-01,14.66
1975-11-01,15.04
1975-12-01,14.81
1976-01-01,13.27
1976-02-01,13.26
1976-03-01,13.51
1976-04-01,13.39
1976-05-01,13.41
1976-06-01,13.48
1976-07-01,13.51
1976-08-01,13.58
1976-09-01,13.47
1976-10-01,13.49
1976-11-01,13.58
1976-12-01,13.71
1977-01-01,14.11
1977-02-01,14.5
1977-03-01,14.54
1977-04-01,14.36
1977-05-01,14.62
1977-06-01,14.63
1977-07-01,14.44
1977-08-01,14.68
1977-09-01,14.5
1977-10-01,14.56
1977-11-01,14.61
1977-12-01,14.76
1978-01-01,14.52
1978-02-01,14.41
1978-03-01,14.57
1978-04-01,14.4
1978-05-01,14.51
1978-06-01,14.54
1978-07-01,14.49
1978-08-01,14.46
1978-09-01,14.53
1978-10-01,14.63
1978-11-01,14.74
1978-12-01,14.94
1979-01-01,15.5
1979-02-01,15.88
1979-03-01,16.41
1979-04-01,17.58
1979-05-01,19.0
1979-06-01,21.03
1979-07-01,23.09
1979-08-01,23.98
1979-09-01,25.06
1979-10-01,25.05
1979-11-01,27.02
1979-12-01,28.91
1980-01-01,30.75
1980-02-01,32.4
1980-03-01,33.42
1980-04-01,33.54
1980-05-01,34.33
1980-06-01,34.48
1980-07-01,34.51
1980-08-01,34.44
1980-09-01,34.46
1980-10-01,34.63
1980-11-01,35.09
1980-12-01,35.63
1981-01-01,38.85
1981-02-01,39.0
1981-03-01,38.31
1981-04-01,38.41
1981-05-01,37.84
1981-06-01,37.03
1981-07-01,36.58
1981-08-01,35.82
1981-09-01,35.44
1981-10-01,35.43
1981-11-01,36.21
1981-12-01,35.95
1982-01-01,35.54
1982-02-01,35.48
1982-03-01,34.07
1982-04-01,32.82
1982-05-01,32.78
1982-06-01,33.79
1982-07-01,33.44
1982-08-01,32.95
1982-09-01,33.03
1982-10-01,33.28
1982-11-01,33.09
1982-12-01,32.85
1983-01-01,31.4
1983-02-01,30.76
1983-03-01,28.43
1983-04-01,27.95
1983-05-01,28.53
1983-06-01,29.23
1983-07-01,28.76
1983-08-01,29.5
1983-09-01,29.54
1983-10-01,29.67
1983-11-01,29.09
1983-12-01,29.3
1984-01-01,28.8
1984-02-01,28.91
1984-03-01,28.95
1984-04-01,29.11
1984-05-01,29.26
1984-06-01,29.19
1984-07-01,29.0
1984-08-01,28.92
1984-09-01,28.7
1984-10-01,28.79
1984-11-01,28.74
1984-12-01,28.02
1985-01-01,27.49
1985-02-01,26.99
1985-03-01,27.2
1985-04-01,27.59
1985-05-01,27.6
1985-06-01,27.25
1985-07-01,26.57
1985-08-01,26.61
1985-09-01,26.56
1985-10-01,26.79
1985-11-01,27.12
1985-12-01,26.21
1986-01-01,24.93
1986-02-01,18.11
1986-03-01,14.22
1986-04-01,13.15
1986-05-01,13.17
1986-06-01,12.25
1986-07-01,10.91
1986-08-01,11.87
1986-09-01,12.85
1986-10-01,12.78
1986-11-01,13.46
1986-12-01,14.17
1987-01-01,16.45
1987-02-01,16.98
1987-03-01,17.26
1987-04-01,17.89
1987-05-01,18.25
1987-06-01,18.71
1987-07-01,19.26
1987-08-01,19.32
1987-09-01,18.57
1987-10-01,18.53
1987-11-01,18.14
1987-12-01,17.2
1988-01-01,15.45
1988-02-01,15.43
1988-03-01,14.73
1988-04-01,15.62
1988-05-01,15.93
1988-06-01,15.5
1988-07-01,14.81
1988-08-01,14.32
1988-09-01,13.84
1988-10-01,13.05
1988-11-01,12.66
1988-12-01,14.11
1989-01-01,16.04
1989-02-01,16.61
1989-03-01,17.77
1989-04-01,19.59
1989-05-01,19.05
1989-06-01,18.27
1989-07-01,17.99
1989-08-01,17.23
1989-09-01,17.62
1989-10-01,18.29
1989-11-01,18.32
1989-12-01,20.05
