date,value
2005-01-31,27.94
2005-02-28,27.97
2005-03-31,27.62
2005-04-30,27.82
2005-05-31,27.92
2005-06-30,28.5
2005-07-31,28.69
2005-08-31,28.48
2005-09-30,28.36
2005-10-31,28.55
2005-11-30,28.76
2005-12-31,28.81
2006-01-31,28.41
2006-02-28,28.2
2006-03-31,27.88
2006-04-30,27.57
2006-05-31,27.06
2006-06-30,26.98
2006-07-31,26.92
2006-08-31,26.77
2006-09-30,26.74
2006-10-31,26.86
2006-11-30,26.62
2006-12-31,26.29
2007-01-31,26.47
2007-02-28,26.34
2007-03-31,26.11
2007-04-30,25.84
2007-05-31,25.82
2007-06-30,25.93
2007-07-31,25.56
2007-08-31,25.63
2007-09-30,25.34
2007-10-31,24.89
2007-11-30,24.47
2007-12-31,24.57
2008-01-31,24.5
2008-02-29,24.53
2008-03-31,23.76
2008-04-30,23.51
2008-05-31,23.73
2008-06-30,23.64
2008-07-31,23.35
2008-08-31,24.13
2008-09-30,25.28
2008-10-31,26.35
2008-11-30,27.31
2008-12-31,28.13
2009-01-31,31.47
2009-02-28,35.76
2009-03-31,34.67
2009-04-30,33.56
2009-05-31,32.06
2009-06-30,31.03
2009-07-31,31.52
2009-08-31,31.63
2009-09-30,30.81
2009-10-31,29.47
2009-11-30,28.98
2009-12-31,29.94
2010-01-31,29.94
2010-02-28,30.19
2010-03-31,29.56
2010-04-30,29.2
2010-05-31,30.35
2010-06-30,31.17
2010-07-31,30.68
2010-08-31,30.34
2010-09-30,30.84
2010-10-31,30.32
2010-11-30,30.97
2010-12-31,30.85
2011-01-31,30.08
2011-02-28,29.29
2011-03-31,28.43
2011-04-30,28.1
2011-05-31,27.87
2011-06-30,27.98
2011-07-31,27.9
2011-08-31,28.77
2011-09-30,30.49
2011-10-31,31.35
2011-11-30,30.86
2011-12-31,31.45
2012-01-31,31.51
2012-02-29,29.88
2012-03-31,29.37
2012-04-30,29.47
2012-05-31,30.65
2012-06-30,32.91
2012-07-31,32.5
2012-08-31,31.97
2012-09-30,31.52
2012-10-31,31.09
2012-11-30,31.41
2012-12-31,30.74
2013-01-31,30.26
2013-02-28,30.16
2013-03-31,30.8
2013-04-30,31.33
2013-05-31,31.24
2013-06-30,32.28
2013-07-31,32.74
2013-08-31,33.02
2013-09-30,32.63
2013-10-31,32.06
2013-11-30,32.64
2013-12-31,32.89
2014-01-31,33.46
2014-02-28,35.22
2014-03-31,36.21
2014-04-30,35.66
2014-05-31,34.93
2014-06-30,34.41
2014-07-31,34.64
2014-08-31,36.11
2014-09-30,37.87
2014-10-31,40.76
2014-11-30,45.86
2014-12-31,55.41
2015-01-31,61.7
2015-02-28,64.63
2015-03-31,60.23
2015-04-30,52.87
2015-05-31,50.58
2015-06-30,54.5
2015-07-31,57.07
2015-08-31,65.15
2015-09-30,66.77
2015-10-31,63.07
2015-11-30,65.03
2015-12-31,69.66
2016-01-31,76.25
2016-02-29,77.22
2016-03-31,70.47
2016-04-30,66.68
2016-05-31,65.66
2016-06-30,65.31
2016-07-31,64.33
2016-08-31,64.92
2016-09-30,64.6
2016-10-31,62.68
2016-11-30,64.36
2016-12-31,62.18
2017-01-31,59.96
2017-02-28,58.39
2017-03-31,58.1
2017-04-30,56.43
2017-05-31,57.17
2017-06-30,57.82
2017-07-31,59.67
2017-08-31,59.65
2017-09-30,57.69
2017-10-31,57.73
2017-11-30,58.92
2017-12-31,58.59
2018-01-31,56.78
2018-02-28,56.81
2018-03-31,57.03
2018-04-30,60.43
2018-05-31,62.21
2018-06-30,62.71
2018-07-31,62.88
2018-08-31,66.09
2018-09-30,67.65
2018-10-31,65.89
2018-11-30,66.24
2018-12-31,67.3
2019-01-31,67.3328
2019-02-28,65.8593
2019-03-31,65.1429
2019-04-30,64.617
2019-05-31,64.8152
2019-06-30,64.2246
2019-07-31,63.1983
2019-08-31,65.5278
2019-09-30,64.9795
2019-10-31,64.3539
2019-11-30,63.865
2019-12-31,62.9356
2020-01-31,61.7808
2020-02-29,63.8776
2020-03-31,73.148
2020-04-30,75.2169
2020-05-31,72.611
2020-06-30,69.2217
2020-07-31,71.2825
2020-08-31,73.797
2020-09-30,75.6513
2020-10-31,77.5887
2020-11-30,77.033
2020-12-31,74.0504
2021-01-31,74.2247
2021-02-28,74.3794
2021-03-31,74.4093
2021-04-30,76.0924
2021-05-31,74.042
2021-06-30,72.5083
2021-07-31,73.9174
2021-08-31,73.5929
2021-09-30,72.891
2021-10-31,71.492
2021-11-30,72.5864
2021-12-31,73.7164
2022-01-31,75.8682
2022-02-28,77.3412
2022-03-31,103.6808
2022-04-30,77.8089
2022-05-31,64.6393
2022-06-30,57.1764
2022-07-31,58.0843
2022-08-31,60.3487
2022-09-30,59.7916
2022-10-31,60.8636
2022-11-30,60.8749
2022-12-31,65.3414
2023-01-31,69.2264
2023-02-28,73.0047
2023-03-31,76.0825
2023-04-30,80.8803
2023-05-31,78.9367
2023-06-30,83.1468
2023-07-31,90.4165
2023-08-31,95.2629
2023-09-30,96.6494
2023-10-31,97.0068
2023-11-30,90.5715
2023-12-31,90.7596
2024-01-31,88.9825
2024-02-29,91.6103
2024-03-31,91.6941
2024-04-30,92.8856
2024-05-31,90.8704
2024-06-30,88.0459
2024-07-31,87.3979
2024-08-31,88.9695
2024-09-30,91.2974
2024-10-31,96.1143
2024-11-30,100.3127
2024-12-31,102.446
2025-01-31,100.8506
2025-02-28,92.8246
2025-03-31,86.0663
2025-04-30,83.3027
2025-05-31,80.456
2025-06-30,78.7176
2025-07-31,78.7337
2025-08-31,80.1574
2025-09-30,82.9553
2025-10-31,81.0031
2025-11-30,80.3429
2025-12-31,78.4248
2026-01-31,77.5565
2026-02-28,76.8504
2026-03-31,80.3855
2026-04-30,76.9123
2026-05-31,72.9891
